1 ROOM,2 ROOMS,3 ROOMS,4 ROOMS
1415.395,1659.235807860262,2178.896907216495,2528.7391304347825
1414.315,1678.713004484305,2157.158415841584,2528.7391304347825
1409.7860696517414,1760.3902439024391,2159.43,2512.24
1404.2463054187192,1758.0562248995984,2151.4158415841584,2515.6153846153848
1397.121359223301,1754.3492063492063,2145.4257425742576,2515.6153846153848
1395.5572139303483,1702.6693548387098,2122.808080808081,2515.037037037037
1393.0945273631842,1706.8542510121458,2097.3564356435645,2513.185185185185
1381.2688679245282,1716.1052631578948,2092.5643564356437,2563.1153846153848
1374.1581395348837,1717.774193548387,2104.030303030303,2569.84
1383.7512437810944,1712.328,2050.074074074074,2547.730769230769
1389.92,1684.9652173913043,2046.2568807339449,2526.703703703704
1383.7512437810944,1688.5895196506551,2046.2568807339449,2547.730769230769
1385.195,1685.4217391304348,2045.7522935779816,2547.730769230769
1387.3659793814434,1688.811059907834,2053.87,2499.6296296296296
1391.8104265402844,1676.337899543379,2080.935483870968,2499.6296296296296
1395.9025641025642,1672.719008264463,2056.1649484536083,2479.259259259259
1404.7720207253885,1637.7905982905984,2071.0103092783506,2411.153846153846
1401.9123711340205,1637.7905982905984,2071.0103092783506,2411.153846153846
1425.6954022988505,1668.1157407407406,2071.0103092783506,2411.153846153846
1418.5583756345177,1675.3577586206898,2072.83,2505.8333333333335
1454.4823529411765,1644.8992805755395,2091.7526881720432,2237.96875
1464.8915662650602,1644.9175627240143,2078.9032258064517,2237.96875
1458.769696969697,1652.5381818181818,2261.915966386555,2153.7837837837837
1457.2987804878048,1685.5692307692307,2092.125,2162.7631578947367
1466.3032258064516,1678.4771784232364,2144.303370786517,2228.90625
1466.9940476190477,1686.077519379845,2093.375,2081.1290322580644
1472.1084337349398,1691.3346456692914,2024.990909090909,2003.4848484848485
1409.1623036649214,1690.1098039215685,2059.4245283018868,2047.1666666666667
1454.2603550295858,1658.0296296296297,2000.4579439252336,2152.6923076923076
1460.5454545454545,1659.546468401487,2002.2844036697247,2227.9166666666665
1453.4023668639054,1658.1962962962964,2008.6571428571428,2152.6923076923076
