File,URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN m²,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
amsterdam_23.csv,https://www.pararius.com/apartment-for-rent/amsterdam/18a3fe74/oostenburgervoorstraat,Apartment Oostenburgervoorstraat 47,1018 MN (Oostelijke Eilanden/Kadijken),3500,140,4,Furnished,Interested in a visit?,17-08-2022,Not available to book,Specifics are not available,Excellent,392,Apartment,Existing building,2017,Location type is not available,3,Number of bathrooms is not available,1,Present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/18a3fe74/amsterdam/oei-housing-amsterdam-expat-apartments/request-details,27-08-2022
amsterdam_25.csv,https://www.pararius.com/apartment-for-rent/amsterdam/65bb9cbb/johan-van-der-keukenstraat,Apartment Johan van der Keukenstraat 83 F,1087 BC (IJburg West),1350,45,1,Furnished,NEW || FURNISHED || STUDIO || AMSTERDAM || AVAILABLE IMMEDIATELY,29-08-2022,Not available to book,Specifics are not available,Excellent,119,Apartment,Existing building,2017,Location type is not available,1,1,1,Not present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/65bb9cbb/amsterdam/amstel-makelaardij-o-g/request-details,30-08-2022
amsterdam_29.csv,https://www.pararius.com/apartment-for-rent/amsterdam/4e56cdf3/gustav-mahlerlaan,Apartment Gustav Mahlerlaan,1082 MK (Zuidas),2250,65,2,Furnished,"This apartment on the 12th floor, is a very well kept perfect styled high end large studio apartment with an open walk in closet, luxurious bathroom and a very bright lounge area with a high end fully equipped kitchen It has been designed to relax after a day at the office with all the conveniences around.",29-08-2022,Not available to book,Specifics are not available,Excellent,Volume is not available,Apartment,Existing building,2017,Location type is not available,1,Number of bathrooms is not available,1,Details of balcony is not available,Not present,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/4e56cdf3/amsterdam/first-class-housing/request-details,2022-09-03
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/4fad5277/gustav-mahlerlaan,Apartment Gustav Mahlerlaan 563 B,1082 MK (Zuidas),2000,50,1,Furnished,Details:,29-07-2022,Not available to book,Specifics are not available,Upkeep is not available,150,Apartment,Existing building,2018,Location type is not available,Number of bedrooms is not available,1,1,Not present,Details of garden is not available,Present,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/4fad5277/amsterdam/amsterdam-housing/request-details,2022-08-03 17:19:17
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/8d7e4b81/koopvaardersplantsoen,Apartment Koopvaardersplantsoen,1034 KE (Banne Buiksloot),2000,144,5,Interior is not available,Spacious apartment for rent in Amsterdam with 3 bedrooms in the Banne Buiksloot district.,28-07-2022,Not available to book,Specifics are not available,Good,360,Apartment,Existing building,2018,Location type is not available,3,Number of bathrooms is not available,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/8d7e4b81/amsterdam/rebid/request-details,2022-08-03 17:19:38
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/615a91a5/memeleiland,Apartment Memeleiland,1014 ZL (Houthavens),2100,76,3,Furnished,"Memeleiland, Amsterdam/Houthavens (ca. 76m2)  € 2100,- Excl. G/W/E",2 weeks,01-09-2022,Specifics are not available,Excellent,200,Apartment,Existing building,2018,Location type is not available,2,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/615a91a5/amsterdam/koops-makelaardij-amsterdam-2/request-details,2022-08-03 17:21:55
amsterdam_1.csv,https://www.pararius.com/house-for-rent/amsterdam/c31d8b08/ouderkerkerdijk,House Ouderkerkerdijk,1096 CR (Omval/Overamstel),7500,200,6,Furnished,"Houseboat in Amsterdam City Centre, Fully Furnished, 5 bedrooms, 3 bathrooms and separate guest house, office house and sauna with big garden.",3 weeks,01-09-2022,Specifics are not available,Excellent,600,House,Existing building,2018,By the water,5,2,1,Details of balcony is not available,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/c31d8b08/amsterdam/first-class-housing/request-details,2022-08-03 17:22:18
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/ce16da40/gaasterlandstraat,Apartment Gaasterlandstraat,1079 RH (Scheldebuurt),5900,138,4,Furnished,"A stylish and high-end furnished apartment in the beautiful Sud building. Living in Sud, is living in a location where the atmosphere and coziness of Oud-Zuid borders on the green of Amstelland. Here you live in space and tranquility with the luxury of a spacious sunny terrace, three bedrooms, two bathrooms and one parking spot.",4 weeks,15-08-2022,Specifics are not available,Excellent,492,Apartment,Existing building,2018,Location type is not available,3,2,1,Not present,Details of garden is not available,Present,Box,Yes,https://www.pararius.com/contact/ce16da40/amsterdam/eefje-voogd-makelaardij-2/request-details,2022-08-03 17:23:05
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/26ddf70b/wijdesteeg,Apartment Wijdesteeg,1012 RN (Burgwallen-Nieuwe Zijde),1850,55,2,Furnished,LUXURY FURNISHED RENTAL APARTMENTS AMSTERDAM ,6 weeks,Not available to book,"Accessible for disabled people, accessible for seniors",Excellent,149,Apartment,Existing building,2018,Location type is not available,1,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/26ddf70b/amsterdam/eefje-voogd-makelaardij-2/request-details,2022-08-03 17:23:46
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/70a0e5d8/pontsteiger,Apartment Pontsteiger,1014 ZP (Houthavens),3950,147,3,Interior is not available,A true hotel  experience.,4 weeks,consultation,Specifics are not available,Good,540,Apartment,Existing building,2018,Location type is not available,2,2,1,Present,Details of garden is not available,Present,Box,Yes,https://www.pararius.com/contact/70a0e5d8/amsterdam/ramon-mossel-makelaardij-amsterdam-2/request-details,2022-08-03 17:26:52
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/7866d2a4/voc-kade,Apartment VOC-kade 78,1018 LG (Oostelijke Eilanden/Kadijken),2650,88,4,Furnished,"VOC-kade 78, 1018 LG Amsterdam.",2 months,Not available to book,Specifics are not available,Good,228,Apartment,Existing building,2018,Location type is not available,3,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/7866d2a4/amsterdam/peter-bruin-makelaardij/request-details,2022-08-03 17:27:12
amsterdam_6.csv,https://www.pararius.com/apartment-for-rent/amsterdam/a15f209c/zeeburgerkade,Apartment Zeeburgerkade,1019 VK (Oostelijk Havengebied),2250,101,4,Furnished,"Located on Cruquius Island, within cycling distance of the center of Amsterdam and with many amenities nearby, we offer FOR RENT: beautifully furnished apartment with unobstructed views and 3 bedrooms. Available for a period of MAXIMUM 6 MONTHS, but not suitable for more than 2 sharers...",08-08-2022,01-09-2022,Specifics are not available,Excellent,253,Apartment,Existing building,2018,Location type is not available,3,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/a15f209c/amsterdam/hb-housing-amsterdam/request-details,2022-08-08
amsterdam_17.csv,https://www.pararius.com/apartment-for-rent/amsterdam/67a1856e/marius-meijboomstraat,Apartment Marius Meijboomstraat,1087 LD (IJburg Zuid),1700,81,3,Furnished,"BECAUSE OF THE MANY REQUESTS, WE ARE NOT SCHEDULING MORE VIEWINGS",19-08-2022,consultation,Specifics are not available,Good,265,Apartment,Existing building,2018,Location type is not available,2,1,1,Not present,Not present,Present,Box,No,https://www.pararius.com/contact/67a1856e/amsterdam/makelaardij-prins-van-wijngaarden-groningen/request-details,21-08-2022
amsterdam_20.csv,https://www.pararius.com/apartment-for-rent/amsterdam/d652f2f3/memeleiland,Apartment Memeleiland,1014 ZL (Houthavens),2800,100,3,Furnished,Go to hausing. com to schedule your viewing appointment instantly and to watch the video tour. ,22-08-2022,15-09-2022,Specifics are not available,Excellent,325,Apartment,Existing building,2018,Location type is not available,2,1,1,Present,Not present,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/d652f2f3/amsterdam/hausing/request-details,22-08-2022
amsterdam_21.csv,https://www.pararius.com/apartment-for-rent/amsterdam/ff54f314/gerard-douplein,Apartment Gerard Douplein 19 2,1073 XE (Oude Pijp),2100,70,3,Upholstered,"What a great location this is! Right in the middle of the Pijp , just across the Albert Cuypmarket, the many restaurants,, shops and of course the new Metro line, we are proud to offer this completely new renovated apartment with elevator. ",24-08-2022,30-09-2022,Specifics are not available,Upkeep is not available,210,Apartment,Existing building,2018,In the city centre,2,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/ff54f314/amsterdam/parker-williams-real-estate-services/request-details,25-08-2022
amsterdam_1.csv,https://www.pararius.com/house-for-rent/amsterdam/059b8ebd/scheepsbouwweg,House Scheepsbouwweg,1033 DC (Tuindorp Oostzaan),2250,90,4,Upholstered,Lovely upholstered house with garden for rent in Amsterdam with 3 bedrooms in the Tuindorp Oostzaan district.,02-08-2022,01-09-2022,Specifics are not available,Excellent,335,House,Existing building,2019,On a quiet road,3,1,1,Details of balcony is not available,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/059b8ebd/amsterdam/v-amsterdam/request-details,2022-08-03 17:18:13
amsterdam_1.csv,https://www.pararius.com/house-for-rent/amsterdam/7c52d484/smalschipstraat,House Smalschipstraat 5,1086 VM (IJburg West),3250,143,5,Furnished,"Smalschipstraat, Amsterdam (approx. 143 m2) €3250,- excl. G/W/E",28-07-2022,15-09-2022,Specifics are not available,Excellent,386,House,Existing building,2019,Location type is not available,4,2,4,Not present,Details of garden is not available,Present,Vrijstaand hout,Yes,https://www.pararius.com/contact/7c52d484/amsterdam/koops-makelaardij-amstelveen/request-details,2022-08-03 17:19:32
